date,n_total,n_tanker
2019-10-17,91,59
2019-10-18,71,43
2019-10-19,82,53
2019-10-20,92,54
2019-10-21,81,49
2019-10-22,67,39
2019-10-23,74,42
2019-10-24,91,56
2019-10-25,76,43
2019-10-26,92,57
2019-10-27,67,38
2019-10-28,74,44
2019-10-29,61,42
2019-10-30,101,66
2019-10-31,64,37
2019-11-01,69,44
2019-11-02,70,43
2019-11-03,62,36
2019-11-04,65,41
2019-11-05,80,40
2019-11-06,57,39
2019-11-07,73,40
2019-11-08,81,54
2019-11-09,67,43
2019-11-10,58,36
2019-11-11,69,51
2019-11-12,75,51
2019-11-13,67,37
2019-11-14,55,34
2019-11-15,44,26
2019-11-16,61,36
2019-11-17,65,42
2019-11-18,46,19
2019-11-19,53,29
2019-11-20,60,43
2019-11-21,54,33
2019-11-22,53,29
2019-11-23,67,42
2019-11-24,57,37
2019-11-25,58,37
2019-11-26,60,39
2019-11-27,56,36
2019-11-28,65,44
2019-11-29,74,45
2019-11-30,61,40
2019-12-01,55,30
2019-12-02,67,41
2019-12-03,61,42
2019-12-04,64,40
2019-12-05,50,32
2019-12-06,40,24
2019-12-07,56,35
2019-12-08,62,45
2019-12-09,55,33
2019-12-10,49,34
2019-12-11,63,35
2019-12-12,67,45
2019-12-13,63,43
2019-12-14,69,43
2019-12-15,71,45
2019-12-16,57,34
2019-12-17,61,38
2019-12-18,66,39
2019-12-19,56,37
2019-12-20,63,45
2019-12-21,63,35
2019-12-22,65,43
2019-12-23,66,42
2019-12-24,85,45
2019-12-25,85,48
2019-12-26,82,53
2019-12-27,39,21
2019-12-28,81,48
2019-12-29,49,26
2019-12-30,76,46
2019-12-31,70,46
2020-01-01,82,58
2020-01-02,67,38
2020-01-03,69,43
2020-01-04,68,44
2020-01-05,75,40
2020-01-06,70,38
2020-01-07,67,45
2020-01-08,44,24
2020-01-09,63,40
2020-01-10,61,37
2020-01-11,83,50
2020-01-12,57,33
2020-01-13,66,29
2020-01-14,72,40
2020-01-15,66,39
2020-01-16,47,29
2020-01-17,72,41
2020-01-18,66,47
2020-01-19,74,43
2020-01-20,75,46
2020-01-21,67,35
2020-01-22,60,33
2020-01-23,62,37
2020-01-24,72,44
2020-01-25,72,38
2020-01-26,72,48
2020-01-27,57,38
2020-01-28,66,36
2020-01-29,65,32
2020-01-30,70,47
2020-01-31,68,42
2020-02-01,61,36
2020-02-02,66,45
2020-02-03,58,40
2020-02-04,66,41
2020-02-05,71,41
2020-02-06,66,42
2020-02-07,81,51
2020-02-08,76,52
2020-02-09,57,37
2020-02-10,54,29
2020-02-11,67,41
2020-02-12,65,41
2020-02-13,49,25
2020-02-14,56,33
2020-02-15,68,45
2020-02-16,57,29
2020-02-17,95,56
2020-02-18,73,38
2020-02-19,63,41
2020-02-20,97,58
2020-02-21,63,32
2020-02-22,68,40
2020-02-23,68,49
2020-02-24,63,35
2020-02-25,85,41
2020-02-26,67,44
2020-02-27,38,26
2020-02-28,67,45
2020-02-29,80,49
2020-03-01,58,38
2020-03-02,82,50
2020-03-03,73,44
2020-03-04,53,33
2020-03-05,61,35
2020-03-06,68,46
2020-03-07,58,36
2020-03-08,87,61
2020-03-09,62,35
2020-03-10,58,43
2020-03-11,56,31
2020-03-12,59,42
2020-03-13,72,46
2020-03-14,89,59
2020-03-15,54,30
2020-03-16,43,24
2020-03-17,55,34
2020-03-18,85,49
2020-03-19,65,37
2020-03-20,67,43
2020-03-21,67,45
2020-03-22,61,37
2020-03-23,64,40
2020-03-24,60,35
2020-03-25,55,32
2020-03-26,72,44
2020-03-27,62,37
2020-03-28,73,42
2020-03-29,50,37
2020-03-30,74,44
2020-03-31,67,39
2020-04-01,58,34
2020-04-02,85,54
2020-04-03,87,53
2020-04-04,62,35
2020-04-05,92,59
2020-04-06,85,55
2020-04-07,78,39
2020-04-08,89,49
2020-04-09,87,53
2020-04-10,82,53
2020-04-11,81,49
2020-04-12,80,52
2020-04-13,73,48
2020-04-14,54,29
2020-04-15,57,31
2020-04-16,79,59
2020-04-17,72,45
2020-04-18,67,41
2020-04-19,73,47
2020-04-20,79,54
2020-04-21,75,54
2020-04-22,66,37
2020-04-23,77,47
2020-04-24,84,56
